                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     62,                0.58144,                0.51691,                0.91957,                0.96201,                0.88656,                0.95931,                0.86067,                0.48221,                 0.5007,                  0.864,               0.000802,               0.000802,               0.000802
                     63,                0.59073,                0.52158,                0.91978,                0.92321,                0.92373,                0.95927,                0.86105,                0.50243,                0.48041,                0.87003,              0.0007987,              0.0007987,              0.0007987
                     64,                0.57869,                0.50514,                0.92096,                0.90824,                0.89356,                0.94976,                0.84552,                0.50481,                 0.5406,                0.88583,              0.0007954,              0.0007954,              0.0007954
                     65,                0.59052,                0.52143,                0.91954,                0.96965,                0.87376,                0.94527,                0.83605,                0.51978,                0.52212,                0.87922,              0.0007921,              0.0007921,              0.0007921
                     66,                0.57767,                 0.5032,                 0.9141,                0.94672,                0.86281,                 0.9513,                0.83593,                0.50293,                0.49923,                0.87474,              0.0007888,              0.0007888,              0.0007888
                     67,                0.57284,                0.50344,                0.92019,                0.95248,                0.90645,                0.95922,                0.84344,                0.52351,                0.45736,                0.88487,              0.0007855,              0.0007855,              0.0007855
                     68,                0.58733,                0.50911,                0.91893,                0.96424,                0.92027,                0.95829,                0.83904,                0.50884,                0.47473,                0.86951,              0.0007822,              0.0007822,              0.0007822
                     69,                0.57387,                0.49217,                0.91403,                0.92771,                0.90371,                0.95499,                0.83637,                0.51639,                0.50514,                0.87632,              0.0007789,              0.0007789,              0.0007789
                     70,                0.58836,                0.49493,                0.91779,                 0.9351,                0.91388,                0.95955,                0.84893,                0.49406,                0.47786,                 0.8691,              0.0007756,              0.0007756,              0.0007756
                     71,                0.56572,                0.50303,                0.91165,                0.94458,                0.91186,                0.96198,                0.86087,                0.49838,                0.47936,                0.86869,              0.0007723,              0.0007723,              0.0007723
                     72,                0.57044,                0.48907,                0.91471,                0.97259,                0.91825,                0.96687,                 0.8623,                0.48849,                0.46568,                 0.8663,               0.000769,               0.000769,               0.000769
                     73,                0.56536,                0.48471,                0.91068,                0.96055,                0.93531,                0.96738,                0.85895,                0.50104,                0.44415,                0.87346,              0.0007657,              0.0007657,              0.0007657
