                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     62,                0.76659,                0.70698,                 1.0346,                0.91895,                0.84762,                0.91406,                0.76201,                0.71061,                0.69951,                  1.023,               0.008812,               0.008812,               0.008812
                     63,                0.78015,                0.71609,                 1.0324,                0.96413,                0.82524,                0.93204,                0.79187,                0.65029,                0.60096,                0.97598,              0.0087922,              0.0087922,              0.0087922
                     64,                 0.7586,                0.70603,                 1.0254,                 0.8911,                0.82037,                0.89035,                 0.7608,                0.68146,                0.78935,                 1.0003,              0.0087724,              0.0087724,              0.0087724
                     65,                0.75053,                0.70311,                 1.0162,                0.88153,                0.85856,                0.92142,                0.78581,                0.63972,                 0.6363,                 0.9781,              0.0087526,              0.0087526,              0.0087526
                     66,                0.74856,                0.68903,                 1.0139,                0.89453,                  0.846,                0.92157,                0.76745,                0.69489,                0.64962,                0.98647,              0.0087328,              0.0087328,              0.0087328
                     67,                0.75091,                0.68105,                 1.0307,                 0.8988,                 0.8596,                0.93953,                0.78653,                0.64922,                0.62795,                0.96345,               0.008713,               0.008713,               0.008713
                     68,                0.76673,                0.70803,                 1.0266,                0.91832,                0.80331,                0.90739,                0.77606,                0.61326,                0.67937,                0.95361,              0.0086932,              0.0086932,              0.0086932
                     69,                0.74002,                0.67543,                 1.0145,                0.93176,                 0.8198,                0.90913,                0.76189,                 0.6433,                 0.6555,                0.96408,              0.0086734,              0.0086734,              0.0086734
                     70,                0.74032,                0.67074,                 1.0068,                0.92129,                0.85202,                0.93328,                0.79285,                0.62066,                0.61794,                0.95439,              0.0086536,              0.0086536,              0.0086536
                     71,                0.75273,                0.70075,                 1.0149,                0.91576,                0.83851,                  0.924,                0.78956,                0.60921,                0.61628,                0.95538,              0.0086338,              0.0086338,              0.0086338
                     72,                0.73239,                0.66858,                 1.0172,                0.93285,                0.87009,                0.93114,                0.80851,                0.56542,                0.57132,                0.93188,               0.008614,               0.008614,               0.008614
                     73,                0.72943,                0.66863,                 1.0074,                 0.9289,                0.83016,                0.92391,                0.79167,                0.62344,                0.58487,                0.97227,              0.0085942,              0.0085942,              0.0085942
                     74,                0.72422,                0.66286,                 1.0068,                0.90324,                0.85249,                0.91819,                0.79215,                 0.6209,                0.64285,                0.97213,              0.0085744,              0.0085744,              0.0085744
                     75,                0.73413,                0.69755,                 1.0211,                0.94199,                0.84629,                0.94105,                0.82322,                0.59464,                0.55065,                 0.9486,              0.0085546,              0.0085546,              0.0085546
                     76,                0.72902,                0.67186,                 1.0196,                 0.8764,                0.83543,                0.90151,                0.76206,                0.63538,                0.70535,                0.95764,              0.0085348,              0.0085348,              0.0085348
                     77,                0.74702,                0.68591,                 1.0208,                0.95844,                0.81689,                0.90302,                 0.7621,                0.62726,                0.66466,                0.95532,               0.008515,               0.008515,               0.008515
                     78,                0.73686,                0.66052,                 1.0144,                0.83108,                0.85299,                0.89806,                0.76942,                0.62202,                0.73574,                0.95265,              0.0084952,              0.0084952,              0.0084952
                     79,                0.72814,                0.65185,                 1.0095,                0.93833,                0.78456,                0.90157,                0.76989,                 0.6439,                0.66869,                0.96221,              0.0084754,              0.0084754,              0.0084754
                     80,                 0.7213,                0.67001,                 1.0179,                0.93824,                0.82126,                0.92766,                0.80526,                0.58742,                0.61599,                0.94508,              0.0084556,              0.0084556,              0.0084556
                     81,                0.72607,                0.67017,                 1.0149,                0.86517,                0.87809,                 0.9218,                0.77929,                0.64665,                0.66241,                0.98147,              0.0084358,              0.0084358,              0.0084358
                     82,                0.70897,                 0.6589,                0.99813,                0.90639,                0.86359,                0.91642,                0.78737,                0.63295,                0.61884,                0.97277,               0.008416,               0.008416,               0.008416
                     83,                0.74151,                 0.6589,                  1.001,                0.88864,                0.88927,                0.93037,                0.81162,                0.61034,                0.58995,                0.94885,              0.0083962,              0.0083962,              0.0083962
                     84,                0.71631,                0.64596,                 1.0073,                0.92698,                0.88804,                 0.9499,                0.82397,                0.60948,                0.54642,                0.95092,              0.0083764,              0.0083764,              0.0083764
                     85,                0.72541,                  0.664,                 1.0017,                0.94686,                0.88456,                0.95679,                 0.8117,                0.60956,                 0.5325,                0.94184,              0.0083566,              0.0083566,              0.0083566
                     86,                0.73465,                0.65894,                 1.0125,                 0.9423,                0.85608,                0.92834,                0.79099,                0.61311,                0.58909,                0.95343,              0.0083368,              0.0083368,              0.0083368
                     87,                0.72237,                0.64228,                 1.0014,                0.97286,                0.84013,                0.92293,                0.80227,                0.56272,                0.57561,                 0.9365,               0.008317,               0.008317,               0.008317
                     88,                0.70613,                0.61905,                0.99524,                 0.9181,                0.85082,                0.92439,                0.79003,                0.61509,                0.63141,                0.95253,              0.0082972,              0.0082972,              0.0082972
                     89,                0.71567,                0.62594,                0.99535,                 0.9523,                0.88049,                0.94254,                0.80533,                0.60584,                 0.5645,                0.93559,              0.0082774,              0.0082774,              0.0082774
                     90,                0.69944,                0.61685,                0.99021,                0.93693,                0.86649,                0.92831,                0.80835,                0.57314,                0.54162,                0.93977,              0.0082576,              0.0082576,              0.0082576
                     91,                0.71047,                  0.624,                 0.9904,                0.91153,                0.87536,                0.92551,                0.79007,                0.61529,                0.61998,                0.95455,              0.0082378,              0.0082378,              0.0082378
                     92,                0.69664,                0.60869,                0.98987,                0.95692,                0.84495,                 0.9281,                0.78875,                0.60481,                0.56924,                0.94804,               0.008218,               0.008218,               0.008218
                     93,                 0.7058,                0.62548,                 1.0008,                0.94016,                0.90067,                0.94824,                0.81671,                0.57929,                0.50861,                0.93696,              0.0081982,              0.0081982,              0.0081982
                     94,                0.71428,                0.64289,                 1.0049,                0.94878,                0.83764,                0.93168,                0.80262,                0.59082,                0.57556,                0.93064,              0.0081784,              0.0081784,              0.0081784
                     95,                0.72691,                0.64759,                0.99671,                0.97162,                0.81254,                0.91812,                0.79517,                0.59267,                0.59242,                0.94498,              0.0081586,              0.0081586,              0.0081586
                     96,                0.71305,                0.63032,                0.99999,                0.89691,                0.82974,                0.90361,                0.76182,                0.64347,                0.65363,                0.97018,              0.0081388,              0.0081388,              0.0081388
                     97,                0.71524,                0.62845,                 1.0045,                 0.9147,                0.81964,                0.91619,                0.77654,                0.66123,                0.60391,                0.97831,               0.008119,               0.008119,               0.008119
                     98,                0.67976,                0.59303,                0.97666,                0.92785,                0.88162,                0.94833,                0.81447,                 0.5768,                 0.5364,                0.92487,              0.0080992,              0.0080992,              0.0080992
                     99,                0.69356,                0.59304,                0.98747,                0.95657,                0.85416,                  0.945,                  0.816,                0.57219,                0.52993,                0.92482,              0.0080794,              0.0080794,              0.0080794
                    100,                0.69645,                0.60997,                  0.993,                0.97497,                 0.8464,                0.95692,                0.81635,                0.60158,                0.52187,                0.94119,              0.0080596,              0.0080596,              0.0080596
                    101,                0.70583,                0.60063,                0.98608,                0.98318,                0.87759,                 0.9558,                0.82409,                0.58315,                0.51001,                0.93309,              0.0080398,              0.0080398,              0.0080398
                    102,                0.68175,                0.60382,                0.98361,                 0.9402,                0.89783,                0.95373,                0.83517,                0.58595,                0.52001,                0.93065,                0.00802,                0.00802,                0.00802
                    103,                0.68519,                 0.6126,                0.99031,                0.95201,                0.91324,                0.95076,                0.82578,                 0.5813,                0.50733,                0.93646,              0.0080002,              0.0080002,              0.0080002
                    104,                0.68947,                0.61102,                 0.9886,                0.93497,                0.89564,                0.95663,                0.82931,                0.57713,                 0.5133,                0.93822,              0.0079804,              0.0079804,              0.0079804
                    105,                 0.6931,                0.59799,                0.98912,                0.95498,                0.83789,                0.93759,                0.81089,                 0.5901,                0.54961,                  0.947,              0.0079606,              0.0079606,              0.0079606
                    106,                0.68475,                0.59911,                0.98335,                0.94586,                0.91554,                0.95252,                0.83138,                0.54743,                0.50928,                0.92353,              0.0079408,              0.0079408,              0.0079408
                    107,                0.69682,                 0.6103,                 0.9921,                0.94445,                0.86244,                0.93553,                0.80783,                0.58834,                0.53145,                 0.9553,               0.007921,               0.007921,               0.007921
                    108,                0.70246,                 0.6077,                0.98895,                0.89369,                 0.8667,                0.91309,                0.78713,                0.62109,                0.64165,                0.96763,              0.0079012,              0.0079012,              0.0079012
                    109,                0.69498,                0.61042,                0.98422,                0.98024,                0.84347,                0.94486,                0.81183,                0.58767,                0.55027,                0.93806,              0.0078814,              0.0078814,              0.0078814
                    110,                 0.7113,                0.62367,                0.99327,                0.85237,                0.90859,                0.93659,                0.80501,                0.60677,                0.58835,                0.94881,              0.0078616,              0.0078616,              0.0078616
                    111,                0.69148,                0.62664,                 0.9854,                 0.9473,                0.87559,                0.95703,                0.83853,                0.54832,                0.51872,                0.91854,              0.0078418,              0.0078418,              0.0078418
                    112,                0.68278,                0.58469,                0.97395,                0.93779,                0.89991,                0.94989,                0.82577,                0.55064,                0.49627,                0.91466,               0.007822,               0.007822,               0.007822
                    113,                0.68662,                0.60044,                0.98103,                0.90829,                0.85818,                0.93155,                0.79237,                0.60155,                0.57557,                0.93986,              0.0078022,              0.0078022,              0.0078022
                    114,                0.69741,                0.60309,                0.99017,                0.91474,                0.88708,                0.94126,                0.81639,                 0.5742,                0.51528,                0.92656,              0.0077824,              0.0077824,              0.0077824
                    115,                0.68545,                0.58399,                0.97538,                0.95707,                0.85341,                0.94153,                 0.8147,                  0.563,                0.52749,                 0.9238,              0.0077626,              0.0077626,              0.0077626
                    116,                0.66636,                0.57872,                0.98051,                0.96052,                0.91311,                0.96834,                 0.8468,                0.55348,                0.45498,                0.92117,              0.0077428,              0.0077428,              0.0077428
                    117,                  0.672,                0.55893,                0.97037,                 0.9425,                0.87236,                0.93892,                 0.8207,                0.57169,                0.50202,                 0.9228,               0.007723,               0.007723,               0.007723
                    118,                0.67647,                0.59072,                0.98194,                0.94346,                0.84649,                 0.9358,                0.81625,                0.56233,                0.53221,                 0.9249,              0.0077032,              0.0077032,              0.0077032
                    119,                0.67178,                0.58717,                 0.9799,                0.92413,                 0.9139,                0.95238,                0.82968,                0.55986,                0.49326,                0.93648,              0.0076834,              0.0076834,              0.0076834
                    120,                0.66898,                0.58405,                0.97293,                0.97512,                0.89118,                0.94821,                0.82212,                0.59143,                0.48939,                 0.9445,              0.0076636,              0.0076636,              0.0076636
